127.0.0.1 - - [02/Nov/2020:09:32:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:33:04 +0530] "GET /IBS/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:33:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:34:42 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:43:39 +0530] "GET /IBS/ibs_representative_funds_deposit_form.jsp HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:44:57 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:44:58 +0530] "GET /IBS/ibs_representative_funds_deposit_form.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:47:27 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:47:31 +0530] "GET /IBS/ibs_representative_funds_deposit_form.jsp HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:47:39 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:49:01 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 687
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:49:37 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:49:56 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:50:21 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:50:23 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:50:25 +0530] "GET /IBS/ibs_representative_funds_deposit_form.jsp HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:50:30 +0530] "GET /IBS/ibs_representative_home.jsp HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:54:14 +0530] "GET /IBS/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:54:39 +0530] "GET /IBS/user_home.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:55:17 +0530] "GET /IBS/ibs_accounts_executive_home_form.jsp HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:55:56 +0530] "GET /IBS/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:55:59 +0530] "GET /IBS/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:56:00 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:56:36 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:57:03 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1370
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:57:16 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:57:35 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:57:49 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:57:50 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:16 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:20 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:49 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:51 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:51 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:52 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:58:53 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:06 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:36 +0530] "GET /IBS/user_home.jsp HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:39 +0530] "GET /IBS/user_accounts.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:41 +0530] "GET /IBS/user_open_account_form.jsp HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:45 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:47 +0530] "GET /IBS/user_accounts.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:49 +0530] "GET /IBS/user_mini_statement_display_form.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Nov/2020:09:59:52 +0530] "GET /IBS/user_monthly_statement_display_form.jsp HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:00:16 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:00:30 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:08:14 +0530] "GET /IBS/user_accounts.jsp HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:08:16 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:09:34 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [02/Nov/2020:10:13:42 +0530] "GET /IBS/user_balance_check_display_form.jsp HTTP/1.1" 200 609
